oneway,fclass,miles,startlon,startlat,endlon,endlat
B,service,0.12926545735,-97.6250610001,30.0670640003,-97.6244380001,30.0664839996
B,service,0.34862882659,-97.6068480001,30.0539160001,-97.6090550003,30.0585950001
B,residential,0.21850612239,-97.5641770001,30.0607050002,-97.5629160004,30.0635920003
B,residential,0.0491480189,-97.6487440004,30.0674609997,-97.6483320003,30.0680780003
B,residential,0.20125446747,-97.6480429996,30.0672620004,-97.6452680002,30.0684349997
B,residential,0.42547347473,-97.5422373004,30.0846787002,-97.5412510004,30.0905679996
B,residential,0.06504214859,-97.5607080002,30.0746159996,-97.5612999996,30.0753359996
B,service,0.08098832116,-97.5902140002,30.1055420004,-97.591205,30.1063420004
B,residential,0.07450942076,-97.5829240003,30.0474210001,-97.584125,30.0477010004
B,residential,0.14009447793,-97.5811959998,30.0467600002,-97.5829810003,30.0456860001
B,residential,0.09822380232,-97.5675459998,30.0790350002,-97.5668029998,30.0783999997
B,residential,0.39013523286,-97.5863346001,30.1019827004,-97.5905936004,30.1051664003
B,residential,0.11411678645,-97.586426,30.113238,-97.5850779998,30.1144090001
B,residential,0.06280625465,-97.5933720001,30.0770110004,-97.5926229998,30.0776490001
B,residential,0.1894153969,-97.5998197003,30.0689060996,-97.5976032996,30.0708671001
B,residential,0.35868851583,-97.5891699997,30.0661640002,-97.5841290002,30.0688750002
B,residential,0.59565555831,-97.5932770002,30.0740080004,-97.597347,30.0815239998
B,residential,0.4539844807,-97.5983549997,30.0758249996,-97.5995089998,30.0819800002
B,residential,0.3724228995,-97.5977831999,30.0931520999,-97.6021121001,30.0892710999
B,residential,0.55975283264,-97.5766929999,30.1088320001,-97.5721819996,30.1034809997
B,residential,0.22607482902,-97.6027619997,30.0777120003,-97.600157,30.080085
B,residential,0.3202881935,-97.5468640003,30.1119570003,-97.5431200003,30.1152769996
B,residential,0.27086341772,-97.5694899996,30.1126259997,-97.5727410002,30.1152949996
B,residential,0.0828418453,-97.5693900003,30.1117149999,-97.5694899996,30.1126259997
B,residential,0.69239311368,-97.5673259996,30.0305079998,-97.5755710003,30.0370470001
B,residential,0.06171161593,-97.5878469998,30.0721619998,-97.5871249998,30.0728009996
B,residential,0.7222325975,-97.5704269996,30.0825460002,-97.5659560003,30.07474
