oneway,fclass,miles,startlon,startlat,endlon,endlat,LINESTRING
B,service,0.11859717734,-87.511007,33.166764,-87.510732,33.166752,"LINESTRING (-87.51100700000001 33.166764, -87.510732 33.166752)"
B,service,0.0629398055615,-87.511579,33.167802,-87.51161,33.167448,"LINESTRING (-87.511579 33.167802, -87.51161 33.167448)"
B,residential,0.115959996243,-87.491761,33.126897,-87.491758,33.126818,"LINESTRING (-87.491761 33.126897, -87.491758 33.126818)"
B,residential,0.0231503467625,-87.491753,33.126668,-87.491427,33.12688,"LINESTRING (-87.491753 33.126668, -87.491427 33.12688)"
B,residential,0.0102620065894,-87.546466,33.136786,-87.546536,33.136648,"LINESTRING (-87.546466 33.136786, -87.546536 33.136648)"
B,residential,0.104792904123,-87.536414,33.143282,-87.536738,33.143031,"LINESTRING (-87.53641399999999 33.143282, -87.536738 33.143031)"
B,residential,0.297266287818,-87.5369529,33.138799,-87.5369244,33.1392079,"LINESTRING (-87.5369529 33.138799, -87.5369244 33.1392079)"
B,residential,0.154303995797,-87.514112,33.156276,-87.514092,33.154037,"LINESTRING (-87.514112 33.156276, -87.51409200000001 33.154037)"
B,residential,0.0199943104742,-87.463578,33.191117,-87.463522,33.191147,"LINESTRING (-87.463578 33.191117, -87.463522 33.191147)"
B,service,0.207373625694,-87.548871,33.193004,-87.548894,33.192656,"LINESTRING (-87.54887100000001 33.193004, -87.548894 33.192656)"
B,service,0.0504365131459,-87.54995,33.191435,-87.549892,33.191288,"LINESTRING (-87.54995 33.191435, -87.549892 33.191288)"
B,service,0.0484675634101,-87.549019,33.191115,-87.549067,33.191249,"LINESTRING (-87.549019 33.191115, -87.54906699999999 33.191249)"
F,motorway_link,0.0114559397039,-87.525451,33.206418,-87.52544,33.206252,"LINESTRING (-87.525451 33.206418, -87.52544 33.206252)"
F,motorway_link,0.111710423565,-87.52544,33.206252,-87.525365,33.206426,"LINESTRING (-87.52544 33.206252, -87.52536499999999 33.206426)"
B,residential,0.014750308342,-87.642177,33.359752,-87.642354,33.359591,"LINESTRING (-87.642177 33.359752, -87.642354 33.359591)"
B,residential,0.0398376857783,-87.456359,33.09713,-87.456419,33.097215,"LINESTRING (-87.45635900000001 33.09713, -87.456419 33.097215)"
B,residential,0.0528556448853,-87.564674,33.107937,-87.564675,33.107864,"LINESTRING (-87.564674 33.107937, -87.56467499999999 33.107864)"
B,residential,0.0228461828467,-87.457788,33.096353,-87.457506,33.09611,"LINESTRING (-87.45778799999999 33.096353, -87.457506 33.09611)"
B,residential,0.0965169544639,-87.509072,33.127654,-87.508996,33.127648,"LINESTRING (-87.509072 33.127654, -87.508996 33.127648)"
B,residential,0.156420779299,-87.562322,33.198649,-87.560409,33.198545,"LINESTRING (-87.56232199999999 33.198649, -87.56040900000001 33.198545)"
B,service,0.203945289783,-87.508866,33.264359,-87.509579,33.265386,"LINESTRING (-87.508866 33.264359, -87.509579 33.265386)"
B,residential,0.190124045635,-87.560449,33.266703,-87.560675,33.266751,"LINESTRING (-87.56044900000001 33.266703, -87.560675 33.266751)"
B,service,0.0266734025656,-87.492719,33.159315,-87.492244,33.159239,"LINESTRING (-87.49271899999999 33.159315, -87.492244 33.159239)"
B,residential,0.120189400749,-87.571564,33.267716,-87.57126,33.267698,"LINESTRING (-87.571564 33.267716, -87.57126 33.267698)"
B,secondary_link,0.0200375428173,-87.549394,33.159259,-87.549257,33.159267,"LINESTRING (-87.54939400000001 33.159259, -87.549257 33.159267)"
B,service,0.0322517884896,-87.490993,33.159574,-87.490919,33.159533,"LINESTRING (-87.490993 33.159574, -87.49091900000001 33.159533)"
B,service,0.0328208812982,-87.490432,33.159556,-87.490527,33.159608,"LINESTRING (-87.490432 33.159556, -87.490527 33.159608)"
B,service,0.0616883292104,-87.504528,33.159874,-87.504366,33.159866,"LINESTRING (-87.50452799999999 33.159874, -87.504366 33.159866)"
B,residential,0.0248308096318,-87.547664,33.14031,-87.547453,33.140278,"LINESTRING (-87.547664 33.14031, -87.547453 33.140278)"
B,service,0.0445174137382,-87.468308,33.106454,-87.468486,33.106246,"LINESTRING (-87.46830799999999 33.106454, -87.468486 33.106246)"
F,motorway_link,0.157219904668,-87.528405,33.170733,-87.528126,33.170747,"LINESTRING (-87.52840500000001 33.170733, -87.528126 33.170747)"
F,motorway_link,0.204436259816,-87.520702,33.172556,-87.52113,33.172527,"LINESTRING (-87.520702 33.172556, -87.52113 33.172527)"
F,motorway_link,0.145681122441,-87.555394,33.1745993,-87.555053,33.1735653,"LINESTRING (-87.55539400000001 33.1745993, -87.555053 33.1735653)"
B,service,0.0739359260495,-87.434566,33.190584,-87.434574,33.190449,"LINESTRING (-87.434566 33.190584, -87.434574 33.190449)"
B,residential,0.0251115968111,-87.581104,33.197029,-87.581208,33.196841,"LINESTRING (-87.581104 33.197029, -87.581208 33.196841)"
B,service,0.0136936685394,-87.526035,33.164878,-87.525796,33.164823,"LINESTRING (-87.52603499999999 33.164878, -87.525796 33.164823)"
B,service,0.137470116075,-87.501961,33.165216,-87.502393,33.165247,"LINESTRING (-87.50196099999999 33.165216, -87.502393 33.165247)"
B,service,0.222243554854,-87.524524,33.164465,-87.524556,33.164593,"LINESTRING (-87.524524 33.164465, -87.524556 33.164593)"
B,service,0.178861896067,-87.5450329,33.1660551,-87.544262,33.165954,"LINESTRING (-87.5450329 33.1660551, -87.544262 33.165954)"
B,residential,0.192127281042,-87.536244,33.1670523,-87.5358947,33.1670951,"LINESTRING (-87.536244 33.1670523, -87.5358947 33.1670951)"
F,trunk_link,0.18115958828,-87.524712,33.147534,-87.524612,33.147457,"LINESTRING (-87.52471199999999 33.147534, -87.524612 33.147457)"
B,residential,0.180118012343,-87.525771,33.148106,-87.525777,33.147776,"LINESTRING (-87.52577100000001 33.148106, -87.52577700000001 33.147776)"
B,residential,0.078272013148,-87.657028,33.256715,-87.657076,33.256604,"LINESTRING (-87.657028 33.256715, -87.657076 33.256604)"
B,residential,0.165894756842,-87.447308,33.138927,-87.447328,33.138607,"LINESTRING (-87.44730800000001 33.138927, -87.447328 33.138607)"
B,service,0.287154956343,-87.669036,33.259498,-87.669136,33.259644,"LINESTRING (-87.66903600000001 33.259498, -87.66913599999999 33.259644)"
B,residential,0.0262128907174,-87.481729,33.112777,-87.482144,33.112591,"LINESTRING (-87.481729 33.112777, -87.48214400000001 33.112591)"
B,residential,0.0731111408459,-87.493457,33.108869,-87.493513,33.109026,"LINESTRING (-87.49345700000001 33.108869, -87.49351299999999 33.109026)"
B,residential,0.0227315484841,-87.492351,33.110985,-87.492758,33.110931,"LINESTRING (-87.492351 33.110985, -87.49275799999999 33.110931)"
B,residential,0.163177914343,-87.600998,33.356161,-87.598105,33.35562,"LINESTRING (-87.600998 33.356161, -87.598105 33.35562)"
B,service,0.0351907469741,-87.464803,33.10772,-87.464581,33.107759,"LINESTRING (-87.464803 33.10772, -87.464581 33.107759)"
B,residential,0.288279615174,-87.470026,33.107568,-87.470204,33.107664,"LINESTRING (-87.470026 33.107568, -87.470204 33.107664)"
B,residential,0.0443768443728,-87.559029,33.108956,-87.558844,33.10902,"LINESTRING (-87.559029 33.108956, -87.55884399999999 33.10902)"
B,residential,0.0920092425563,-87.487886,33.109167,-87.48778,33.109181,"LINESTRING (-87.487886 33.109167, -87.48778 33.109181)"
B,service,0.196002949784,-87.5293212,33.2438528,-87.5286116,33.2440256,"LINESTRING (-87.5293212 33.2438528, -87.5286116 33.2440256)"
B,residential,0.0135804071672,-87.572195,33.24551,-87.572201,33.245313,"LINESTRING (-87.57219499999999 33.24551, -87.57220100000001 33.245313)"
B,residential,0.196032201117,-87.565446,33.17749,-87.565598,33.177118,"LINESTRING (-87.56544599999999 33.17749, -87.56559799999999 33.177118)"
F,motorway_link,0.297335402389,-87.526244,33.212997,-87.526157,33.212797,"LINESTRING (-87.52624400000001 33.212997, -87.526157 33.212797)"
F,motorway_link,0.121417363048,-87.524755,33.211027,-87.524828,33.21136,"LINESTRING (-87.524755 33.211027, -87.524828 33.21136)"
F,tertiary_link,0.0333066891042,-87.527508,33.215426,-87.527508,33.21553,"LINESTRING (-87.527508 33.215426, -87.527508 33.21553)"
B,residential,0.0607881052733,-87.489397,33.215809,-87.48956,33.215809,"LINESTRING (-87.489397 33.215809, -87.48956 33.215809)"
B,residential,0.0117726943392,-87.600765,33.30324,-87.600551,33.303232,"LINESTRING (-87.600765 33.30324, -87.600551 33.303232)"
B,residential,0.0464850567971,-87.6115668,33.3156721,-87.6110439,33.3158183,"LINESTRING (-87.61156680000001 33.3156721, -87.6110439 33.3158183)"
B,residential,3.34348131161,-87.418776,33.211135,-87.418707,33.211087,"LINESTRING (-87.41877599999999 33.211135, -87.418707 33.211087)"
B,service,0.0404745204283,-87.552573,33.24147,-87.552503,33.241434,"LINESTRING (-87.552573 33.24147, -87.552503 33.241434)"
B,service,0.113266594243,-87.502815,33.206406,-87.502814,33.206572,"LINESTRING (-87.502815 33.206406, -87.502814 33.206572)"
B,residential,0.120415843301,-87.508305,33.207087,-87.507618,33.207099,"LINESTRING (-87.50830499999999 33.207087, -87.50761799999999 33.207099)"
B,service,0.0339632015136,-87.557685,33.206725,-87.557665,33.207141,"LINESTRING (-87.55768500000001 33.206725, -87.557665 33.207141)"
B,residential,0.0244314508816,-87.504579,33.207335,-87.505023,33.207333,"LINESTRING (-87.50457900000001 33.207335, -87.50502299999999 33.207333)"
B,residential,0.399477037653,-87.530034,33.207603,-87.5299047,33.207593,"LINESTRING (-87.530034 33.207603, -87.5299047 33.207593)"
B,residential,0.0992489406345,-87.555255,33.096843,-87.555379,33.096857,"LINESTRING (-87.555255 33.096843, -87.555379 33.096857)"
B,residential,0.0433050332322,-87.468083,33.07716,-87.468123,33.077041,"LINESTRING (-87.46808299999999 33.07716, -87.46812300000001 33.077041)"
B,residential,0.0295844149369,-87.469477,33.077678,-87.469597,33.077514,"LINESTRING (-87.469477 33.077678, -87.46959699999999 33.077514)"
B,residential,0.0634010324221,-87.640556,33.162718,-87.640415,33.162633,"LINESTRING (-87.640556 33.162718, -87.640415 33.162633)"
B,service,0.170064871831,-87.53287,33.199845,-87.533562,33.199812,"LINESTRING (-87.53287 33.199845, -87.533562 33.199812)"
B,service,0.29522823813,-87.534078,33.199792,-87.534077,33.199966,"LINESTRING (-87.53407799999999 33.199792, -87.534077 33.199966)"
F,residential,0.0307732834608,-87.554867,33.179802,-87.55464,33.179833,"LINESTRING (-87.554867 33.179802, -87.55464000000001 33.179833)"
B,residential,0.0966036137131,-87.612494,33.179011,-87.613856,33.179895,"LINESTRING (-87.612494 33.179011, -87.613856 33.179895)"
B,residential,0.026144086759,-87.596246,33.179924,-87.59617,33.179904,"LINESTRING (-87.59624599999999 33.179924, -87.59617 33.179904)"
B,residential,0.0791630228636,-87.609553,33.267778,-87.609416,33.267695,"LINESTRING (-87.60955300000001 33.267778, -87.609416 33.267695)"
B,residential,0.0273177461337,-87.553583,33.179721,-87.553242,33.180009,"LINESTRING (-87.553583 33.179721, -87.553242 33.180009)"
B,service,0.125789563728,-87.4671614,33.1058711,-87.467182,33.105781,"LINESTRING (-87.46716139999999 33.1058711, -87.46718199999999 33.105781)"
B,residential,0.0188800519333,-87.564752,33.10801,-87.564732,33.10796,"LINESTRING (-87.564752 33.10801, -87.56473200000001 33.10796)"
B,residential,0.264315342026,-87.552842,33.115598,-87.552797,33.116149,"LINESTRING (-87.552842 33.115598, -87.552797 33.116149)"
B,residential,0.102168544349,-87.567524,33.141692,-87.566023,33.141596,"LINESTRING (-87.56752400000001 33.141692, -87.566023 33.141596)"
B,residential,0.0842645451146,-87.479117,33.105044,-87.479023,33.104951,"LINESTRING (-87.479117 33.105044, -87.479023 33.104951)"
B,service,0.133849161445,-87.545034,33.20189,-87.545041,33.201678,"LINESTRING (-87.545034 33.20189, -87.545041 33.201678)"
F,primary,0.0985466340175,-87.5680891,33.2017818,-87.567783,33.200859,"LINESTRING (-87.56808909999999 33.2017818, -87.56778300000001 33.200859)"
B,service,0.258795747507,-87.544218,33.201846,-87.545034,33.20189,"LINESTRING (-87.544218 33.201846, -87.545034 33.20189)"
B,residential,0.218021073259,-87.420516,33.147475,-87.420945,33.147636,"LINESTRING (-87.42051600000001 33.147475, -87.420945 33.147636)"
B,residential,0.0775220057297,-87.53496,33.188802,-87.53504,33.188626,"LINESTRING (-87.53496 33.188802, -87.53504 33.188626)"
B,residential,0.0448125928343,-87.535066,33.186999,-87.535334,33.187095,"LINESTRING (-87.535066 33.186999, -87.53533400000001 33.187095)"
B,residential,0.039594353038,-87.583457,33.301876,-87.583415,33.301983,"LINESTRING (-87.583457 33.301876, -87.583415 33.301983)"
B,residential,0.00880821009625,-87.532452,33.174725,-87.532292,33.174726,"LINESTRING (-87.53245200000001 33.174725, -87.532292 33.174726)"
B,residential,0.035709487795,-87.568933,33.30238,-87.568901,33.302381,"LINESTRING (-87.568933 33.30238, -87.568901 33.302381)"
